Price,Rooms,Bathroom,Car,Landsize,BuildingArea,Distance,Type,RegionGroup,segment,Tier
1480000.0,2,1,1,202.0,140.0,2.5,h,Metro,0,B
1035000.0,2,1,0,156.0,79.0,2.5,h,Metro,0,B
1465000.0,3,2,0,134.0,150.0,2.5,h,Metro,0,B
850000.0,3,2,1,94.0,140.0,2.5,h,Metro,0,B
1600000.0,4,1,2,120.0,142.0,2.5,h,Metro,0,B
941000.0,2,1,0,181.0,140.0,2.5,h,Metro,0,B
1876000.0,3,2,0,245.0,210.0,2.5,h,Metro,2,S
1636000.0,2,1,2,256.0,107.0,2.5,h,Metro,0,B
300000.0,1,1,1,0.0,75.0,2.5,u,Metro,0,B
1097000.0,2,1,2,220.0,75.0,2.5,h,Metro,0,B
700000.0,2,2,1,0.0,75.0,2.5,u,Metro,0,B
1350000.0,3,2,2,214.0,190.0,2.5,h,Metro,2,S
750000.0,2,2,1,0.0,94.0,2.5,u,Metro,0,B
1172500.0,2,1,1,195.0,140.0,2.5,h,Metro,0,B
441000.0,1,1,1,0.0,75.0,2.5,u,Metro,0,B
1310000.0,2,1,2,238.0,97.0,2.5,h,Metro,0,B
1200000.0,3,2,1,113.0,110.0,2.5,h,Metro,0,B
1176500.0,3,1,1,138.0,105.0,2.5,h,Metro,0,B
955000.0,3,1,0,183.0,140.0,2.5,h,Metro,0,B
890000.0,2,1,1,150.0,73.0,2.5,h,Metro,0,B
1330000.0,4,2,2,780.0,135.0,2.5,h,Metro,2,S
900000.0,3,2,2,0.0,131.0,2.5,t,Metro,0,B
500000.0,2,1,1,0.0,60.0,2.5,u,Metro,0,B
1100000.0,2,2,1,124.0,135.0,2.5,h,Metro,0,B
1315000.0,2,1,0,147.0,85.0,2.5,h,Metro,0,B
426000.0,1,1,1,0.0,75.0,2.5,u,Metro,0,B
1447500.0,3,3,1,166.0,174.0,2.5,h,Metro,2,S
457000.0,1,1,1,0.0,50.0,2.5,u,Metro,0,B
1135000.0,2,2,2,98.0,128.0,2.5,h,Metro,0,B
1542000.0,4,3,1,0.0,140.0,2.5,h,Metro,2,S
1290000.0,3,2,2,147.0,18.0,2.5,h,Metro,0,B
